Point's Coordinates for twisted_polar_coordinates_61

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	
168,   	-0.33523244955,     	0.219049161879,     	-0.916316904487,    	2.562813679158,     	-1.158784175504,    	1.0,                	
169,   	-0.364135763557,    	0.166638759748,     	-0.916316904487,    	2.712413329329,     	-1.158784175504,    	1.0,                	
170,   	-0.384904886322,    	0.110505923086,     	-0.916316904487,    	2.8620129795,       	-1.158784175504,    	1.0,                	
171,   	-0.397075869962,    	0.051904566708,     	-0.916316904487,    	3.011612629671,     	-1.158784175504,    	1.0,                	
172,   	-0.400376834816,    	-0.00785625192,     	-0.916316904487,    	3.161212279842,     	-1.158784175504,    	1.0,                	
173,   	-0.394734042783,    	-0.067441574862,    	-0.916316904487,    	3.310811930013,     	-1.158784175504,    	1.0,                	
174,   	-0.380273544512,    	-0.125520364466,    	-0.916316904487,    	3.460411580184,     	-1.158784175504,    	1.0,                	
175,   	-0.35731836364,     	-0.180795236544,    	-0.916316904487,    	3.610011230355,     	-1.158784175504,    	1.0,                	
176,   	-0.326381280975,    	-0.232031441793,    	-0.916316904487,    	3.759610880525,     	-1.158784175504,    	1.0,                	
177,   	-0.288153379822,    	-0.278084448052,    	-0.916316904487,    	3.909210530696,     	-1.158784175504,    	1.0,                	
178,   	-0.243488608323,    	-0.317925507263,    	-0.916316904487,    	4.058810180867,     	-1.158784175504,    	1.0,                	
179,   	-0.193384703667,    	-0.350664635997,    	-0.916316904487,    	4.208409831038,     	-1.158784175504,    	1.0,                	
180,   	-0.138960904289,    	-0.375570496219,    	-0.916316904487,    	4.358009481209,     	-1.158784175504,    	1.0,                	
181,   	-0.081432947936,    	-0.392086732168,    	-0.916316904487,    	4.50760913138,      	-1.158784175504,    	1.0,                	
182,   	-0.02208591409,     	-0.399844398423,    	-0.916316904487,    	4.657208781551,     	-1.158784175504,    	1.0,                	
183,   	0.037754482582,     	-0.39867020154,     	-0.916316904487,    	4.806808431722,     	-1.158784175504,    	1.0,                	
184,   	0.0967515065,       	-0.388590371138,    	-0.916316904487,    	4.956408081893,     	-1.158784175504,    	1.0,                	
185,   	0.153587261639,     	-0.369830073971,    	-0.916316904487,    	5.106007732064,     	-1.158784175504,    	1.0,                	
186,   	0.206992131149,     	-0.342808384077,    	-0.916316904487,    	5.255607382235,     	-1.158784175504,    	1.0,                	
187,   	0.255773138493,     	-0.308128921357,    	-0.916316904487,    	5.405207032406,     	-1.158784175504,    	1.0,                	
188,   	0.298840596576,     	-0.266566367701,    	-0.916316904487,    	5.554806682577,     	-1.158784175504,    	1.0,                	
189,   	0.33523244955,      	-0.219049161879,    	-0.916316904487,    	5.704406332748,     	-1.158784175504,    	1.0,                	
190,   	0.364135763557,     	-0.166638759748,    	-0.916316904487,    	5.854005982919,     	-1.158784175504,    	1.0,                	
191,   	0.384904886322,     	-0.110505923086,    	-0.916316904487,    	6.00360563309,      	-1.158784175504,    	1.0,                	
192,   	0.397075869962,     	-0.051904566708,    	-0.916316904487,    	6.153205283261,     	-1.158784175504,    	1.0,                	
193,   	0.447006828099,     	0.008817899926,     	-0.894487082229,    	0.019723985966,     	-1.107282656593,    	1.0,                	
194,   	0.441843093346,     	0.068319401258,     	-0.894487082229,    	0.153408779736,     	-1.107282656593,    	1.0,                	
195,   	0.428794658125,     	0.126601741256,     	-0.894487082229,    	0.287093573506,     	-1.107282656593,    	1.0,                	
196,   	0.408094372072,     	0.182624870182,     	-0.894487082229,    	0.420778367275,     	-1.107282656593,    	1.0,                	
197,   	0.380111632281,     	0.235389053973,     	-0.894487082229,    	0.554463161045,     	-1.107282656593,    	1.0,                	
198,   	0.345345791407,     	0.28395271452,      	-0.894487082229,    	0.688147954815,     	-1.107282656593,    	1.0,                	
199,   	0.304417246704,     	0.327449232149,     	-0.894487082229,    	0.821832748585,     	-1.107282656593,    	1.0,                	
200,   	0.258056369022,     	0.365102410473,     	-0.894487082229,    	0.955517542354,     	-1.107282656593,    	1.0,                	
201,   	0.207090469321,     	0.396240327632,     	-0.894487082229,    	1.089202336124,     	-1.107282656593,    	1.0,                	
202,   	0.152429035289,     	0.420307326758,     	-0.894487082229,    	1.222887129894,     	-1.107282656593,    	1.0,                	
203,   	0.095047501511,     	0.436873931681,     	-0.894487082229,    	1.356571923664,     	-1.107282656593,    	1.0,                	
204,   	0.035969842817,     	0.445644510943,     	-0.894487082229,    	1.490256717434,     	-1.107282656593,    	1.0,                	
205,   	-0.023749698574,    	0.44646255335,      	-0.894487082229,    	1.623941511203,     	-1.107282656593,    	1.0,                	
206,   	-0.083045426032,    	0.439313460915,     	-0.894487082229,    	1.757626304973,     	-1.107282656593,    	1.0,                	
207,   	-0.140859205894,    	0.424324809363,     	-0.894487082229,    	1.891311098743,     	-1.107282656593,    	1.0,                	
208,   	-0.196159349891,    	0.401764071535,     	-0.894487082229,    	2.024995892513,     	-1.107282656593,    	1.0,                	
209,   	-0.247959025641,    	0.372033844333,     	-0.894487082229,    	2.158680686282,     	-1.107282656593,    	1.0,                	
210,   	-0.295333866705,    	0.335664664364,     	-0.894487082229,    	2.292365480052,     	-1.107282656593,    	1.0,                	
211,   	-0.337438467921,    	0.293305540509,     	-0.894487082229,    	2.426050273822,     	-1.107282656593,    	1.0,                	
212,   	-0.373521471682,    	0.245712372334,     	-0.894487082229,    	2.559735067592,     	-1.107282656593,    	1.0,                	
213,   	-0.402938975933,    	0.193734461054,     	-0.894487082229,    	2.693419861362,     	-1.107282656593,    	1.0,                	
214,   	-0.425166024612,    	0.138299353727,     	-0.894487082229,    	2.827104655131,     	-1.107282656593,    	1.0,                	
215,   	-0.43980597551,     	0.080396291156,     	-0.894487082229,    	2.960789448901,     	-1.107282656593,    	1.0,                	
216,   	-0.446597578355,    	0.021058554865,     	-0.894487082229,    	3.094474242671,     	-1.107282656593,    	1.0,                	
217,   	-0.445419636835,    	-0.038654971836,    	-0.894487082229,    	3.228159036441,     	-1.107282656593,    	1.0,                	
218,   	-0.436293171343,    	-0.097678699649,    	-0.894487082229,    	3.36184383021,      	-1.107282656593,    	1.0,                	
219,   	-0.419381043873,    	-0.154959348753,    	-0.894487082229,    	3.49552862398,      	-1.107282656593,    	1.0,                	
220,   	-0.394985051739,    	-0.209474744608,    	-0.894487082229,    	3.62921341775,      	-1.107282656593,    	1.0,                	
221,   	-0.363540542,       	-0.260252058682,    	-0.894487082229,    	3.76289821152,      	-1.107282656593,    	1.0,                	
222,   	-0.325608642676,    	-0.306385168604,    	-0.894487082229,    	3.89658300529,      	-1.107282656593,    	1.0,                	
223,   	-0.28186624941,     	-0.347050827934,    	-0.894487082229,    	4.030267799059,     	-1.107282656593,    	1.0,                	
224,   	-0.233093946245,    	-0.381523357017,    	-0.894487082229,    	4.163952592829,     	-1.107282656593,    	1.0,                	
225,   	-0.180162076088,    	-0.409187592756,    	-0.894487082229,    	4.297637386599,     	-1.107282656593,    	1.0,                	
226,   	-0.124015209415,    	-0.429549866208,    	-0.894487082229,    	4.431322180369,     	-1.107282656593,    	1.0,                	
227,   	-0.065655288392,    	-0.442246812122,    	-0.894487082229,    	4.565006974138,     	-1.107282656593,    	1.0,                	
228,   	-0.006123747192,    	-0.447051853196,    	-0.894487082229,    	4.698691767908,     	-1.107282656593,    	1.0,                	
229,   	0.053517072421,     	-0.443879243359,    	-0.894487082229,    	4.832376561678,     	-1.107282656593,    	1.0,                	
230,   	0.11220287861,      	-0.432785597909,    	-0.894487082229,    	4.966061355448,     	-1.107282656593,    	1.0,                	
231,   	0.168886421771,     	-0.413968883211,    	-0.894487082229,    	5.099746149218,     	-1.107282656593,    	1.0,                	
232,   	0.222556182735,     	-0.387764883985,    	-0.894487082229,    	5.233430942987,     	-1.107282656593,    	1.0,                	
233,   	0.272254423346,     	-0.354641211218,    	-0.894487082229,    	5.367115736757,     	-1.107282656593,    	1.0,                	
